지점명,종류,브랜드_클린,로드 머신/핀 머신/랙/스미스/케이블/유산소,부위 선택,기구명_클린,댓 수,기타,운동_부위_및_기능
nc 유성점,머신,뉴텍,핀 머신,상체,펙 덱 플라이 / 리어 델토이드 (Pec Deck Fly / Rear Delt),1,,가슴 (대흉근) / 어깨 (후면 삼각근)
nc 유성점,머신,뉴텍,핀 머신,상체,체스트 프레스 (Chest Press),1,,가슴 (대흉근)
nc 유성점,머신,뉴텍,핀 머신,상체,랫 풀 다운 (Lat Pulldown),1,,등 (광배근)
nc 유성점,머신,뉴텍,핀 머신,상체,숄더 프레스 (Shoulder Press),1,,어깨 (삼각근)
nc 유성점,머신,뉴텍,핀 머신,하체,시티드 레그 프레스 (Seated Leg Press),1,,"하체 (대퇴사두근, 둔근)"
nc 유성점,머신,뉴텍,핀 머신,하체,레그 컬 (Leg Curl),1,,하체 (햄스트링)
nc 유성점,머신,뉴텍,핀 머신,하체,레그 익스텐션 (Leg Extension),1,,하체 (대퇴사두근)
nc 유성점,머신,뉴텍,핀 머신,하체,힙 어덕션/이너 타이 (Hip Adduction / Inner Thigh),1,,하체 (내전근)
nc 유성점,머신,뷰티빌더,플레이트 로드 머신,하체,힙 어브덕션/아웃 타이 (Hip Abduction / Outer Thigh),1,,"하체 (중둔근, 소둔근)"
nc 유성점,머신,뷰티빌더,플레이트 로드 머신,하체,힙 쓰러스트 (Hip Thrust),1,,"하체 (둔근, 햄스트링)"
nc 유성점,머신,라이프 휘트니스,핀 머신,상체,토르소 로테이션 (Torso Rotation),1,,코어 (복사근)
nc 유성점,머신,라이프 휘트니스,핀 머신,하체,글루트 머신/힙 익스텐션 (Glute Machine / Hip Extension),1,,하체 (둔근)
nc 유성점,머신,아틀란티스,핀 머신,상체,바이셉스 컬 (Biceps Curl) 머신,1,,팔 (이두근)
nc 유성점,머신,뉴텍,랙,기타,다목적/프리웨이트 장비,3,,전신
nc 유성점,유산소,디렉스,러닝머신,유산소,유산소 운동 기구,10,,유산소
nc 유성점,기타,뉴텍,뉴텍,상체,딥스 머신 (Dip Machine),1,,"가슴, 삼두"
nc 유성점,기타,이고진,이고진,전신,인버전 테이블 (Inversion Table),1,,허리/스트레칭
가락점,머신,아스날,플레이트 로드 머신,하체,레그 프레스 / 핵 스쿼트 (Leg Press / Hack Squat),1,,하체 (스쿼트/프레스)
가락점,머신,아스날,플레이트 로드 머신,하체,V 스쿼트 (V-Squat),1,,"하체 (대퇴사두근, 둔근)"
가락점,머신,뉴텍,핀 머신,상체,어시스트 풀업/딥 (Assisted Pull-up/Dip) 머신,1,,"등 (광배근), 팔 (삼두근, 이두근)"
가락점,머신,뉴텍,플레이트 로드 머신,상체,레터럴 레이즈 (Lateral Raise),1,,어깨 (측면/후면)
가락점,머신,테크노짐,핀 머신,상체,바이셉스 컬 / 프리처 컬 (Biceps Curl / Preacher Curl),1,,팔 (이두)
가락점,머신,테크노짐,핀 머신,하체,힙 어덕션/어브덕션 (Hip Adduction/Abduction) 콤보,1,,하체 (내전/외전)
가락점,머신,테크노짐,핀 머신,하체,레그 익스텐션 / 레그 컬 (Leg Extension / Leg Curl),1,,하체 (익스텐션/컬)
가락점,머신,해머스트렝스,플레이트 로드 머신,상체,시티드 로우 / 롱 풀 (Seated Row / Long Pull),1,,등 (로우)
가락점,머신,사이벡스,케이블 머신,기타,케이블 크로스오버/멀티 케이블 머신 (Cable/Multi-Gym),1,,케이블/다목적
가락점,머신,렉스코,플레이트 로드 머신,하체,힙 쓰러스트 / 글루트 머신 (Hip Thrust / Glute Machine),1,,하체 (둔근/고관절)
가락점,머신,프라임,플레이트 로드 머신,상체,체스트 프레스 (Chest Press) / 벤치 프레스 (Bench Press),1,,가슴 (프레스)
가락점,유산소,엑스펀,기타,유산소,기타 (Miscellaneous),2,,기타/보조
가산역점,머신,개선스포츠,랙,기타,앱도미널/백 익스텐션 (Abdominal/Back Extension),1,,코어/복부
가산역점,머신,뉴텍,플레이트 로드 머신,상체,트라이셉스 익스텐션 (Triceps Extension),1,,팔 (삼두)
가산역점,머신,뉴텍,핀 머신,상체,어시스트 풀업/딥 머신 (Assisted Pull-up/Dip),1,,딥/풀업 (보조)
가산역점,머신,뉴텍,랙,기타,파워 랙/스미스 머신 (Power Rack / Smith Machine),5,,프리 웨이트/파워 렉
가양역점,머신,렉스코,플레이트 로드 머신,하체,힙 어덕션/어브덕션 (Hip Adduction/Abduction),1,,하체 (내전/외전)
가양역점,머신,뉴텍,핀 머신,상체,시티드 로우/로우 머신 (Seated/Mid/Low Row),1,,등 (로우)
가양역점,머신,뉴텍,핀 머신,상체,펙 덱/리어 델토이드 플라이 (Pec Deck/Rear Delt Fly),1,,가슴/어깨 (플라이)
가양역점,머신,뉴텍,플레이트 로드 머신,상체,벤트 오버 레터럴 레이즈 (Bent-Over Lateral Raise),1,,어깨 (후면)
가양역점,머신,호이스트,케이블 머신,기타,멀티/듀얼 케이블 스테이션 (Multi/Dual Cable Station),1,,전신 (복합/케이블)
강남역점,머신,뷰티빌더,플레이트 로드 머신,하체,힙 쓰러스트/글루트 머신 (Hip Thrust/Glute Machine),1,,하체 (둔근/고관절)
광교점,머신,차노,랙,기타,파워 랙/하프 랙 (Power/Half Rack),4,,프리 웨이트 보조
대전시청점,머신,아이핏펀,,,덤벨/바벨/랙 (Dumbbell/Barbell/Rack),1,,프리 웨이트
대전시청점,기타,GDR 플러스,GDR 플러스,골프 스크린,유산소 운동 기구 (Cardio Equipment),12,,유산소
도안점,머신,테크노짐,플레이트 로드 머신,하체,스쿼트 프레스 (Squat Press),1,,"하체 (대퇴사두근, 둔근)"
둔산점,머신,사이벡스,플레이트 로드 머신,하체,핵 스쿼트/V-스쿼트 (Hack/V-Squat Machine),1,,하체 (스쿼트)
안산중앙점,머신,왓슨,,,,1,,
안산중앙점,머신,디렉스,로드머신,기타,트레드밀 (Treadmill),1,,유산소
안산중앙점,머신,디렉스,로드머신,기타,스텝밀/클라이머 (Step Mill/Climber),1,,유산소
양천향교역점,머신,테크노짐,핀 머신,상체,로만 체어/하이퍼 익스텐션 (Roman Chair/Hyperextension),1,,코어 (기립근/둔근)
양천향교역점,머신,파나타,플레이트 로드 머신,상체,스미스 머신 (Smith Machine),1,,프리 웨이트
양천향교역점,머신,뉴텍,핀 머신,상체,어시스트 풀업/딥 (Assisted Pull-up/Dip),1,,등/팔 (보조)
여의도역점,머신,파나타,핀 머신,상체,앱도미널 크런치 (Abdominal Crunch),1,,코어 (복부)
영등포점,머신,,핀 머,상체,기타 핀/플레이트 머신 (Pin/Plate Loaded Machine),1,,기타 장비
월평점,머신,뉴텍,플레이트 로드 머신,하체,카프 레이즈 (Calf Raise Machine),1,,하체 (종아리)
인계점,머신,해머스트렝스,플레이트 로드 머신,상체,풀오버 머신 (Pullover Machine),1,,등 (광배근/가슴 상부)
인계점,머신,짐 80 ,핀 머신,상체,넥 프레스 / 델트 빌더 (Neck Press / Delt Builder),1,,어깨 (승모근/후면)
인계점,머신,파나타,핀 머신,상체,로잉 머신 (Rowing Machine),1,,유산소
일산 주엽점,머신,뉴텍,플레이트 로드 머신,상체,프리 웨이트 벤치/랙 (Bench/Rack),2,,프리 웨이트 보조
잠실점,머신,아스날, 펜들럼스쿼트,하체,펜듈럼/파워 스쿼트 (Pendulum/Power Squat),1,,하체 (스쿼트)
장안점,머신,렉스코,플레이트 로드 머신,하체,힙 어덕션/어브덕션 / 힙 쓰러스트/글루트 머신 (Hip Adduction/Abduction / Glute Machine),1,,하체 (둔근/내전/외전)
장안점,기타,인투 필라테스,인투 필라테스,기타,필라테스 기구 (Pilates Equipment),10,그룹8+개인2,필라테스/코어
장안점,기타,스피닝,스피닝,기타,사이클 (Cycle - 스핀/입식/좌식),11,스피닝실,유산소
장안점,기타,뉴텍,뉴젠 사우나,기타,편의/재활/기타 시설 (Miscellaneous),4,힐링존,편의 시설/재활
창원 중앙점,머신,뉴텍,플레이트 로드 머신,상체,싯업 벤치/코어 복합 (Sit-up Bench/Core Combo),1,,코어 (복부)
평택역점,머신,해머스트렝스,플레이트 로드 머신,상체,호리존탈 레그 프레스 (Horizontal Leg Press),1,,"하체 (대퇴사두근, 둔근)"
평택역점,머신,해머스트렝스,플레이트 로드 머신,상체,디클라인 체스트 프레스 (Decline Chest Press),1,,가슴 (아랫가슴)
평택역점,머신,해머스트렝스,핀 머신,상체,앱도미널 크런치 (Abdominal Crunch) 머신,1,,코어 (복직근)
평택역점,머신,해머스트렝스,플레이트 로드 머신,상체,하이 로우 (High Row) 머신,1,,등 (광배근 상부)
평택역점,머신,라이프 휘트니스,핀 머신,상체,다목적/프리웨이트 장비 (케이블),1,,전신
하단점,머신,뉴텍,핀 머신,상체,#REF!,1,,#REF!
